"No.","Time","Source","Destination","Protocol","Length","Info"
"64","152.117798","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"65","154.509046","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"66","156.549782","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"67","159.450724","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"68","160.723144","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"69","160.760203","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"70","164.236129","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"71","165.064865","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"72","167.419881","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"73","170.861676","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"74","173.231322","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"75","174.248472","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"76","176.173158","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"77","179.473631","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"78","181.654227","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"79","184.455618","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"80","187.313171","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"81","188.649676","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"82","191.660736","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"83","194.312556","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"84","198.064733","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"85","202.877453","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"86","203.088568","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"87","204.798811","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"88","208.626323","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"89","211.560176","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"90","213.694769","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"91","215.724208","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"92","219.344172","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"93","223.021800","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"94","224.822905","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"95","228.844859","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"96","232.007932","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"97","234.285088","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"98","237.031215","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"99","241.624440","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"100","245.925599","127.0.0.1","127.0.0.1","UDP","56","55173  >  13337 Len=24"
"101","246.522946","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"102","248.135116","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"103","249.536606","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"104","250.229995","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"105","251.558012","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"106","252.399763","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"107","253.083240","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"108","254.784136","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"109","255.585140","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"110","257.482414","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"111","259.169834","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"112","260.679629","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"113","261.212780","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"114","262.083628","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"115","263.006020","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"116","263.755044","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"117","264.624468","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"118","266.170620","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"119","267.961149","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"120","268.924119","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"121","269.896151","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"122","271.871052","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"123","272.863190","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"124","273.756591","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"125","274.425991","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"126","276.309838","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"127","278.263974","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"128","279.581841","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"129","280.421225","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"130","280.935588","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"131","282.540248","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"132","283.919737","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"133","284.886256","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"134","286.723337","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"135","287.258272","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"136","288.968991","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"137","290.788545","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"138","292.196088","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"139","293.588429","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"140","295.117914","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"141","295.969835","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"142","297.660801","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"143","299.447574","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"144","300.140557","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"145","301.053541","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"146","301.693739","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"147","302.281920","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"148","303.728478","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"149","304.584620","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"150","305.953513","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"151","307.816080","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"152","309.505845","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"153","310.342218","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"154","311.240182","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"155","313.174732","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"156","313.960520","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"157","314.771950","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"158","316.490313","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"159","317.933284","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"160","318.439145","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"161","319.434677","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"162","321.042016","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"163","321.940928","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"164","323.384374","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"165","324.125289","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"166","325.429551","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"167","325.980952","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"168","327.361024","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"169","328.849513","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"170","330.517726","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"171","332.410737","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"172","333.858163","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"173","334.440940","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"174","335.917871","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"175","337.783880","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"176","338.644310","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"177","340.168110","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"178","340.715695","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"179","341.375627","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"180","342.163746","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"181","342.705242","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"182","344.318804","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"183","345.856844","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"184","346.395284","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
"185","347.339837","127.0.0.1","127.0.0.1","UDP","47","55173  >  13337 Len=15"
